Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_Elec_6.3x7.7,3,220uf,
"C10, C12, C14, C19, C22",0603,5,1u,
"C11, C13, C15, C20, C23, C6",0603,6,220n,
C16,0603,1,47u,
"C17, C26, C27, C28",0603,4,1n,
"C18, C21, C24, C25, C30, C31",0603,6,100n,
C29,0603,1,C,
"C4, C5",0603,2,10u,
"C7, C8",0603,2,6.8p,
C9,0603,1,220p,
D1,D_SOD-123,1,STPS0560Z,
"D2, D3, D4",D_SOD-523,3,BAT30k,
"D5, D6",0603,2,LED,
D7,D_SMP_DO-220AA,1,ESH2PB,
J1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
J11,Molex_Micro-Fit_3.0_43045-2021_2x10-1MP_P3.00mm_Horizontal,1,Conn_02x10_Counter_Clockwise,
J12,TerminalBlock_RND_205-00068_1x03_P7.50mm_Horizontal,1,Screw_Terminal_01x03,
J2,PinSocket_2x03_P2.54mm_Vertical_SMD,1,Conn_02x03_Counter_Clockwise,
J4,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,1,USB_C_Receptacle_USB2.0_14P,
J5,PinSocket_1x03_P2.54mm_Vertical,1,CAN,
J6,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x04,
"J7, J8",SolderWire-2sqmm_1x01_D2mm_OD3.9mm,2,Conn_01x01,
L1,L_Wurth_WE-LQSH-2512,1,15u,
L2,L_Wurth_WE-LQSH-4020,1,22u,
"Q1, Q2, Q3, Q4, Q5, Q6",Infineon_PG-TDSON-8,6,STL160N10F8,
R1,0603,1,22k,
"R10, R11, R13, R6, R7, R8",0603,6,100,
"R12, R5, R9",R_Shunt_Vishay_WSK2512_6332Metric_T2.66mm,3,R_Shunt,
R14,0603,1,4.7k,
"R15, R18, R19, R21, R22, R26, R27",0603,7,1.5k,
"R16, R17, R23, R24, R28, R29",0603,6,30k,
"R2, R34, R35, R36, R37, R38, R39, R4, R40, R43, R44",0603,11,10k,
"R20, R25, R30",0603,3,15k,
R3,0603,1,120,
R31,0603,1,1,
R32,0603,1,0,
R41,0603,1,72.3k 1%,
R42,0603,1,3.01k 1%,
"R45, R46",0603,2,5k,
SW1,SW_SPST_CK_RS282G05A3,1,SW_Push,
"TP8, TP9",TestPoint_Pad_2.0x2.0mm,2,TestPoint,
U1,QFN-64-1EP_9x9mm_P0.5mm_EP4.1x4.1mm_ThermalVias,1,STSPIN32G4,
U2,ST_UQFN-6L_1.5x1.7mm_P0.5mm,1,ECMF02-2AMX6,
U3,TI_SO-PowerPAD-8,1,ST1S14PHR,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN330G,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
